年　次,,中位,高位,低位
,,,,
平成 22,(2010),1.3873 ,1.3873 ,1.3873 
23,(2011),1.3879 ,1.4441 ,1.3138 
24,(2012),1.3705 ,1.4467 ,1.2746 
25,(2013),1.3897 ,1.4930 ,1.2663 
26,(2014),1.3864 ,1.5198 ,1.2361 
27,(2015),1.3798 ,1.5454 ,1.2043 
28,(2016),1.3715 ,1.5682 ,1.1743 
29,(2017),1.3626 ,1.5868 ,1.1486 
30,(2018),1.3539 ,1.6000 ,1.1279 
31,(2019),1.3461 ,1.6078 ,1.1124 
32,(2020),1.3397 ,1.6111 ,1.1017 
33,(2021),1.3348 ,1.6110 ,1.0949 
34,(2022),1.3315 ,1.6090 ,1.0911 
35,(2023),1.3298 ,1.6064 ,1.0899 
36,(2024),1.3294 ,1.6038 ,1.0906 
37,(2025),1.3302 ,1.6016 ,1.0925 
38,(2026),1.3316 ,1.5998 ,1.0952 
39,(2027),1.3333 ,1.5981 ,1.0981 
40,(2028),1.3348 ,1.5966 ,1.1008 
41,(2029),1.3361 ,1.5952 ,1.1032 
42,(2030),1.3373 ,1.5939 ,1.1053 
43,(2031),1.3383 ,1.5927 ,1.1072 
44,(2032),1.3392 ,1.5919 ,1.1089 
45,(2033),1.3401 ,1.5913 ,1.1104 
46,(2034),1.3410 ,1.5909 ,1.1118 
47,(2035),1.3418 ,1.5905 ,1.1131 
48,(2036),1.3425 ,1.5903 ,1.1144 
49,(2037),1.3433 ,1.5903 ,1.1156 
50,(2038),1.3441 ,1.5903 ,1.1168 
51,(2039),1.3449 ,1.5904 ,1.1180 
52,(2040),1.3457 ,1.5906 ,1.1192 
53,(2041),1.3465 ,1.5908 ,1.1203 
54,(2042),1.3472 ,1.5912 ,1.1213 
55,(2043),1.3479 ,1.5916 ,1.1222 
56,(2044),1.3486 ,1.5921 ,1.1230 
57,(2045),1.3492 ,1.5926 ,1.1236 
58,(2046),1.3497 ,1.5932 ,1.1241 
59,(2047),1.3502 ,1.5938 ,1.1244 
60,(2048),1.3505 ,1.5944 ,1.1246 
61,(2049),1.3508 ,1.5950 ,1.1246 
62,(2050),1.3509 ,1.5955 ,1.1245 
63,(2051),1.3510 ,1.5960 ,1.1242 
64,(2052),1.3510 ,1.5965 ,1.1239 
65,(2053),1.3510 ,1.5969 ,1.1235 
66,(2054),1.3509 ,1.5973 ,1.1231 
67,(2055),1.3508 ,1.5975 ,1.1227 
68,(2056),1.3507 ,1.5978 ,1.1224 
69,(2057),1.3507 ,1.5980 ,1.1222 
70,(2058),1.3506 ,1.5982 ,1.1220 
71,(2059),1.3507 ,1.5983 ,1.1219 
72,(2060),1.3507 ,1.5984 ,1.1219 
,,,,
"人口動態統計と同定義に基づく合計特殊出生率．平成22(2010)年は実績値である. 
死亡中位推計による．",,,,
