年　次,,"人　口（1,000人）",,,,割　合（％）,,,,
,,総　数,0～14歳,15～64歳,65歳以上,0～14歳,15～64歳,65歳以上,,
平成 17,(2005),"127,768 ","17,585 ","84,422 ","25,761 ",13.8 ,66.1 ,20.2 ,,
18,(2006),"127,762 ","17,436 ","83,729 ","26,597 ",13.6 ,65.5 ,20.8 ,,
19,(2007),"127,694 ","17,238 ","83,010 ","27,446 ",13.5 ,65.0 ,21.5 ,,
20,(2008),"127,568 ","17,023 ","82,334 ","28,211 ",13.3 ,64.5 ,22.1 ,,
21,(2009),"127,395 ","16,763 ","81,644 ","28,987 ",13.2 ,64.1 ,22.8 ,,
22,(2010),"127,176 ","16,479 ","81,285 ","29,412 ",13.0 ,63.9 ,23.1 ,,
23,(2011),"126,913 ","16,193 ","81,015 ","29,704 ",12.8 ,63.8 ,23.4 ,,
24,(2012),"126,605 ","15,880 ","79,980 ","30,745 ",12.5 ,63.2 ,24.3 ,,
25,(2013),"126,254 ","15,542 ","78,859 ","31,852 ",12.3 ,62.5 ,25.2 ,,
26,(2014),"125,862 ","15,201 ","77,727 ","32,934 ",12.1 ,61.8 ,26.2 ,,
27,(2015),"125,430 ","14,841 ","76,807 ","33,781 ",11.8 ,61.2 ,26.9 ,,
28,(2016),"124,961 ","14,486 ","76,025 ","34,450 ",11.6 ,60.8 ,27.6 ,,
29,(2017),"124,456 ","14,133 ","75,346 ","34,977 ",11.4 ,60.5 ,28.1 ,,
30,(2018),"123,915 ","13,803 ","74,732 ","35,380 ",11.1 ,60.3 ,28.6 ,,
31,(2019),"123,341 ","13,488 ","74,199 ","35,655 ",10.9 ,60.2 ,28.9 ,,
32,(2020),"122,735 ","13,201 ","73,635 ","35,899 ",10.8 ,60.0 ,29.2 ,,
33,(2021),"122,097 ","12,892 ","73,141 ","36,064 ",10.6 ,59.9 ,29.5 ,,
34,(2022),"121,430 ","12,622 ","72,678 ","36,131 ",10.4 ,59.9 ,29.8 ,,
35,(2023),"120,735 ","12,381 ","72,144 ","36,210 ",10.3 ,59.8 ,30.0 ,,
36,(2024),"120,015 ","12,159 ","71,549 ","36,307 ",10.1 ,59.6 ,30.3 ,,
37,(2025),"119,270 ","11,956 ","70,960 ","36,354 ",10.0 ,59.5 ,30.5 ,,
38,(2026),"118,502 ","11,769 ","70,363 ","36,371 ",9.9 ,59.4 ,30.7 ,,
39,(2027),"117,713 ","11,597 ","69,728 ","36,388 ",9.9 ,59.2 ,30.9 ,,
40,(2028),"116,904 ","11,438 ","69,028 ","36,438 ",9.8 ,59.0 ,31.2 ,,
41,(2029),"116,074 ","11,290 ","68,274 ","36,510 ",9.7 ,58.8 ,31.5 ,,
42,(2030),"115,224 ","11,150 ","67,404 ","36,670 ",9.7 ,58.5 ,31.8 ,,
43,(2031),"114,354 ","11,017 ","66,835 ","36,502 ",9.6 ,58.4 ,31.9 ,,
44,(2032),"113,464 ","10,888 ","65,896 ","36,681 ",9.6 ,58.1 ,32.3 ,,
45,(2033),"112,555 ","10,762 ","64,942 ","36,851 ",9.6 ,57.7 ,32.7 ,,
46,(2034),"111,627 ","10,637 ","63,949 ","37,041 ",9.5 ,57.3 ,33.2 ,,
47,(2035),"110,679 ","10,512 ","62,919 ","37,249 ",9.5 ,56.8 ,33.7 ,,
48,(2036),"109,714 ","10,384 ","61,832 ","37,498 ",9.5 ,56.4 ,34.2 ,,
49,(2037),"108,732 ","10,253 ","60,699 ","37,779 ",9.4 ,55.8 ,34.7 ,,
50,(2038),"107,733 ","10,118 ","59,528 ","38,087 ",9.4 ,55.3 ,35.4 ,,
51,(2039),"106,720 ","9,978 ","58,387 ","38,354 ",9.4 ,54.7 ,35.9 ,,
52,(2040),"105,695 ","9,833 ","57,335 ","38,527 ",9.3 ,54.2 ,36.5 ,,
53,(2041),"104,658 ","9,682 ","56,358 ","38,619 ",9.3 ,53.8 ,36.9 ,,
54,(2042),"103,613 ","9,526 ","55,455 ","38,632 ",9.2 ,53.5 ,37.3 ,,
55,(2043),"102,560 ","9,366 ","54,589 ","38,605 ",9.1 ,53.2 ,37.6 ,,
56,(2044),"101,503 ","9,202 ","53,779 ","38,522 ",9.1 ,53.0 ,38.0 ,,
57,(2045),"100,443 ","9,036 ","53,000 ","38,407 ",9.0 ,52.8 ,38.2 ,,
58,(2046),"99,382 ","8,868 ","52,268 ","38,245 ",8.9 ,52.6 ,38.5 ,,
59,(2047),"98,321 ","8,701 ","51,541 ","38,079 ",8.8 ,52.4 ,38.7 ,,
60,(2048),"97,261 ","8,535 ","50,792 ","37,934 ",8.8 ,52.2 ,39.0 ,,
61,(2049),"96,205 ","8,373 ","50,038 ","37,794 ",8.7 ,52.0 ,39.3 ,,
62,(2050),"95,152 ","8,214 ","49,297 ","37,641 ",8.6 ,51.8 ,39.6 ,,
63,(2051),"94,102 ","8,061 ","48,588 ","37,453 ",8.6 ,51.6 ,39.8 ,,
64,(2052),"93,056 ","7,914 ","47,894 ","37,248 ",8.5 ,51.5 ,40.0 ,,
65,(2053),"92,013 ","7,774 ","47,224 ","37,014 ",8.4 ,51.3 ,40.2 ,,
66,(2054),"90,971 ","7,641 ","46,577 ","36,753 ",8.4 ,51.2 ,40.4 ,,
67,(2055),"89,930 ","7,516 ","45,951 ","36,463 ",8.4 ,51.1 ,40.5 ,,
,,,,,,,,,,
"各年10月1日現在人口.平成17(2005)年は,総務省統計局『国勢調査報告』(年齢｢不詳人口」を按分補正した）人口による.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
