年　次,,中位,高位,低位
,,,,
平成 27,(2015),1.4504 ,1.4504 ,1.4504 
28,(2016),1.4441 ,1.4946 ,1.3953 
29,(2017),1.4405 ,1.5161 ,1.3685 
30,(2018),1.4353 ,1.5431 ,1.3349 
31,(2019),1.4287 ,1.5727 ,1.2971 
32,(2020),1.4263 ,1.6060 ,1.2652 
33,(2021),1.4234 ,1.6324 ,1.2386 
34,(2022),1.4207 ,1.6497 ,1.2198 
35,(2023),1.4190 ,1.6588 ,1.2088 
36,(2024),1.4185 ,1.6620 ,1.2042 
37,(2025),1.4193 ,1.6619 ,1.2043 
38,(2026),1.4209 ,1.6600 ,1.2072 
39,(2027),1.4229 ,1.6572 ,1.2115 
40,(2028),1.4249 ,1.6541 ,1.2162 
41,(2029),1.4266 ,1.6510 ,1.2207 
42,(2030),1.4280 ,1.6479 ,1.2246 
43,(2031),1.4290 ,1.6450 ,1.2281 
44,(2032),1.4299 ,1.6424 ,1.2312 
45,(2033),1.4307 ,1.6404 ,1.2336 
46,(2034),1.4314 ,1.6388 ,1.2357 
47,(2035),1.4319 ,1.6377 ,1.2373 
48,(2036),1.4325 ,1.6369 ,1.2387 
49,(2037),1.4330 ,1.6364 ,1.2400 
50,(2038),1.4336 ,1.6361 ,1.2410 
51,(2039),1.4342 ,1.6361 ,1.2421 
52,(2040),1.4348 ,1.6362 ,1.2431 
53,(2041),1.4355 ,1.6363 ,1.2441 
54,(2042),1.4362 ,1.6365 ,1.2451 
55,(2043),1.4368 ,1.6366 ,1.2461 
56,(2044),1.4374 ,1.6367 ,1.2471 
57,(2045),1.4380 ,1.6368 ,1.2481 
58,(2046),1.4387 ,1.6369 ,1.2491 
59,(2047),1.4393 ,1.6371 ,1.2501 
60,(2048),1.4398 ,1.6373 ,1.2510 
61,(2049),1.4404 ,1.6377 ,1.2518 
62,(2050),1.4409 ,1.6381 ,1.2524 
63,(2051),1.4413 ,1.6387 ,1.2527 
64,(2052),1.4416 ,1.6393 ,1.2529 
65,(2053),1.4418 ,1.6399 ,1.2528 
66,(2054),1.4419 ,1.6405 ,1.2526 
67,(2055),1.4420 ,1.6410 ,1.2523 
68,(2056),1.4420 ,1.6416 ,1.2519 
69,(2057),1.4421 ,1.6421 ,1.2516 
70,(2058),1.4421 ,1.6427 ,1.2513 
71,(2059),1.4422 ,1.6432 ,1.2510 
72,(2060),1.4424 ,1.6437 ,1.2508 
73,(2061),1.4425 ,1.6441 ,1.2507 
74,(2062),1.4427 ,1.6444 ,1.2506 
75,(2063),1.4429 ,1.6448 ,1.2507 
76,(2064),1.4431 ,1.6450 ,1.2508 
77,(2065),1.4433 ,1.6452 ,1.2510 
,,,,
"人口動態統計と同定義に基づく合計特殊出生率．平成27(2015)年は実績値である. 
死亡中位推計による．",,,,
